Fri May 12 14:52:39 2023    debug_timer_rec

         447405400 function calls (431447914 primitive calls) in 908.807 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:922(find_spec)
       23    0.001    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
       23    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:1136(get_resource_reader)
       23    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
      5/4    0.000    0.000    0.062    0.016 <frozen importlib._bootstrap_external>:1231(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      137    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
       61    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       31    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
       31    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
       44    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
       41    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       67    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       46    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
    25/22    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       23    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
    23/10    0.000    0.000    0.119    0.012 <frozen importlib._bootstrap_external>:934(exec_module)
      322    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       11    0.000    0.000    0.000    0.000 <frozen ntpath>:103(join)
      488    0.002    0.000    0.003    0.000 <frozen ntpath>:150(splitdrive)
      234    0.003    0.000    0.005    0.000 <frozen ntpath>:206(split)
       20    0.001    0.000    0.002    0.000 <frozen ntpath>:229(splitext)
      230    0.000    0.000    0.006    0.000 <frozen ntpath>:240(basename)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:247(dirname)
      466    0.000    0.000    0.001    0.000 <frozen ntpath>:35(_get_bothseps)
      464    0.001    0.000    0.002    0.000 <frozen ntpath>:51(normcase)
      232    0.000    0.000    0.001    0.000 <frozen ntpath>:545(normpath)
      232    0.003    0.000    0.104    0.000 <frozen ntpath>:678(realpath)
      232    0.001    0.000    0.002    0.000 <frozen ntpath>:87(isabs)
        1    0.000    0.000    0.000    0.000 <frozen os>:1080(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen os>:1091(__init__)
        1    0.000    0.000    0.000    0.000 <frozen os>:1107(add_dll_directory)
       22    0.001    0.000    0.001    0.000 <frozen os>:673(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen os>:681(__setitem__)
       24    0.000    0.000    0.000    0.000 <frozen os>:741(check_str)
       23    0.000    0.000    0.000    0.000 <frozen os>:747(encodekey)
       10    0.000    0.000    0.001    0.000 <frozen os>:772(getenv)
       11    0.000    0.000    0.000    0.000 <frozen os>:817(fsdecode)
        3    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
    31721    0.042    0.000    0.065    0.000 <string>:1(<lambda>)
        1    0.000    0.000  908.806  908.806 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:281(BmpRleDecoder)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:355(DibImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:62(BmpImageFile)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:39(LoadingStrategy)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:63(GifImageFile)
       10    0.002    0.000    0.299    0.030 Image.py:2269(save)
       20    0.000    0.000    0.000    0.000 Image.py:2791(_check_size)
       10    0.001    0.000    0.005    0.000 Image.py:2809(new)
       10    0.000    0.000    0.006    0.001 Image.py:2886(frombuffer)
       10    0.000    0.000    0.017    0.002 Image.py:311(preinit)
        6    0.000    0.000    0.000    0.000 Image.py:3294(register_open)
        6    0.000    0.000    0.000    0.000 Image.py:3309(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:3320(register_save)
        2    0.000    0.000    0.000    0.000 Image.py:3331(register_save_all)
       13    0.000    0.000    0.000    0.000 Image.py:3343(register_extension)
        3    0.000    0.000    0.000    0.000 Image.py:3354(register_extensions)
        3    0.000    0.000    0.000    0.000 Image.py:3376(register_decoder)
       10    0.000    0.000    0.001    0.000 Image.py:406(_getencoder)
       30    0.000    0.000    0.000    0.000 Image.py:500(__init__)
       40    0.000    0.000    0.000    0.000 Image.py:527(size)
       20    0.001    0.000    0.001    0.000 Image.py:531(_new)
       10    0.001    0.000    0.005    0.001 Image.py:591(_copy)
       10    0.000    0.000    0.006    0.001 Image.py:597(_ensure_mutable)
       20    0.000    0.000    0.000    0.000 Image.py:819(load)
       10    0.000    0.000    0.237    0.024 ImageFile.py:484(_save)
       10    0.001    0.000    0.236    0.024 ImageFile.py:512(_encode_tile)
       10    0.000    0.000    0.000    0.000 ImageFile.py:74(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageOps.py:1(<module>)
        1    0.000    0.000    0.012    0.012 JpegImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:341(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
       50    0.001    0.000    0.019    0.000 PngImagePlugin.py:1057(putchunk)
       10    0.000    0.000    0.000    0.000 PngImagePlugin.py:1071(__init__)
       10    0.000    0.000    0.017    0.002 PngImagePlugin.py:1075(write)
       10    0.002    0.000    0.242    0.024 PngImagePlugin.py:1221(_save)
      100    0.000    0.000    0.002    0.000 PngImagePlugin.py:152(_crc32)
       10    0.000    0.000    0.000    0.000 PngImagePlugin.py:280(__init__)
       10    0.000    0.000    0.000    0.000 PngImagePlugin.py:283(add)
       10    0.000    0.000    0.000    0.000 PngImagePlugin.py:326(add_text)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:147(PpmPlainDecoder)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:275(PpmDecoder)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:53(PpmImageFile)
        1    0.000    0.000    0.009    0.009 TiffImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1050(TiffImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:138(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1886(AppendingTiffWriter)
      114    0.000    0.000    0.000    0.000 TiffImagePlugin.py:260(<genexpr>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:303(IFDRational)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:388(_delegate)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:430(ImageFileDirectory_v2)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:665(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:666(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:676(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:677(decorator)
        9    0.000    0.000    0.000    0.000 TiffImagePlugin.py:683(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:951(ImageFileDirectory_v1)
        5    0.000    0.000    0.005    0.001 __init__.py:1(<module>)
       25    0.001    0.000    0.001    0.000 __init__.py:1005(is_scalar_nan)
   411192    0.664    0.000    0.741    0.000 __init__.py:101(check_in_list)
    30150    0.928    0.000    5.515    0.000 __init__.py:1050(_combine_masks)
      140    0.000    0.000    0.000    0.000 __init__.py:106(__init__)
        4    0.000    0.000    0.104    0.026 __init__.py:108(import_module)
       20    0.000    0.000    0.000    0.000 __init__.py:109(__call__)
       20    0.000    0.000    0.000    0.000 __init__.py:112(__eq__)
      285    0.000    0.000    0.000    0.000 __init__.py:115(__hash__)
    30400    0.165    0.000    0.345    0.000 __init__.py:119(_weak_or_strong_ref)
   336578    0.372    0.000    0.940    0.000 __init__.py:1192(is_interactive)
        2    0.000    0.000    0.000    0.000 __init__.py:1267(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1273(append)
        2    0.000    0.000    0.000    0.000 __init__.py:1319(disable)
